"intercept","env_range","lat_range","sim","fit_model","job"
-4.5,50,30,11,"mgcv",286
-3.5,50,30,11,"mgcv",287
-2.5,50,30,11,"mgcv",288
-4.5,10,50,11,"mgcv",289
-3.5,10,50,11,"mgcv",290
-2.5,10,50,11,"mgcv",291
-4.5,30,50,11,"mgcv",292
-3.5,30,50,11,"mgcv",293
-2.5,30,50,11,"mgcv",294
-4.5,50,50,11,"mgcv",295
-3.5,50,50,11,"mgcv",296
-2.5,50,50,11,"mgcv",297
-4.5,10,10,12,"mgcv",298
-3.5,10,10,12,"mgcv",299
-2.5,10,10,12,"mgcv",300
-4.5,30,10,12,"mgcv",301
-3.5,30,10,12,"mgcv",302
-2.5,30,10,12,"mgcv",303
-4.5,50,10,12,"mgcv",304
-3.5,50,10,12,"mgcv",305
-2.5,50,10,12,"mgcv",306
-4.5,10,30,12,"mgcv",307
-3.5,10,30,12,"mgcv",308
-2.5,10,30,12,"mgcv",309
-4.5,30,30,12,"mgcv",310
-3.5,30,30,12,"mgcv",311
-2.5,30,30,12,"mgcv",312
-4.5,50,30,12,"mgcv",313
-3.5,50,30,12,"mgcv",314
-2.5,50,30,12,"mgcv",315
-4.5,10,50,12,"mgcv",316
-3.5,10,50,12,"mgcv",317
-2.5,10,50,12,"mgcv",318
-4.5,30,50,12,"mgcv",319
-3.5,30,50,12,"mgcv",320
-2.5,30,50,12,"mgcv",321
-4.5,50,50,12,"mgcv",322
-3.5,50,50,12,"mgcv",323
-2.5,50,50,12,"mgcv",324
-4.5,10,10,13,"mgcv",325
-3.5,10,10,13,"mgcv",326
-2.5,10,10,13,"mgcv",327
-4.5,30,10,13,"mgcv",328
-3.5,30,10,13,"mgcv",329
-2.5,30,10,13,"mgcv",330
-4.5,50,10,13,"mgcv",331
-3.5,50,10,13,"mgcv",332
-2.5,50,10,13,"mgcv",333
-4.5,10,30,13,"mgcv",334
-3.5,10,30,13,"mgcv",335
-2.5,10,30,13,"mgcv",336
-4.5,30,30,13,"mgcv",337
-3.5,30,30,13,"mgcv",338
-2.5,30,30,13,"mgcv",339
-4.5,50,30,13,"mgcv",340
-3.5,50,30,13,"mgcv",341
-2.5,50,30,13,"mgcv",342
-4.5,10,50,13,"mgcv",343
-3.5,10,50,13,"mgcv",344
-2.5,10,50,13,"mgcv",345
-4.5,30,50,13,"mgcv",346
-3.5,30,50,13,"mgcv",347
-2.5,30,50,13,"mgcv",348
-4.5,50,50,13,"mgcv",349
-3.5,50,50,13,"mgcv",350
-2.5,50,50,13,"mgcv",351
-4.5,10,10,14,"mgcv",352
-3.5,10,10,14,"mgcv",353
-2.5,10,10,14,"mgcv",354
-4.5,30,10,14,"mgcv",355
-3.5,30,10,14,"mgcv",356
-2.5,30,10,14,"mgcv",357
-4.5,50,10,14,"mgcv",358
-3.5,50,10,14,"mgcv",359
-2.5,50,10,14,"mgcv",360
-4.5,10,30,14,"mgcv",361
-3.5,10,30,14,"mgcv",362
-2.5,10,30,14,"mgcv",363
-4.5,30,30,14,"mgcv",364
-3.5,30,30,14,"mgcv",365
-2.5,30,30,14,"mgcv",366
-4.5,50,30,14,"mgcv",367
-3.5,50,30,14,"mgcv",368
-2.5,50,30,14,"mgcv",369
-4.5,10,50,14,"mgcv",370
-3.5,10,50,14,"mgcv",371
-2.5,10,50,14,"mgcv",372
-4.5,30,50,14,"mgcv",373
-3.5,30,50,14,"mgcv",374
-2.5,30,50,14,"mgcv",375
-4.5,50,50,14,"mgcv",376
-3.5,50,50,14,"mgcv",377
-2.5,50,50,14,"mgcv",378
-4.5,10,10,15,"mgcv",379
-3.5,10,10,15,"mgcv",380
-2.5,10,10,15,"mgcv",381
-4.5,30,10,15,"mgcv",382
-3.5,30,10,15,"mgcv",383
-2.5,30,10,15,"mgcv",384
-4.5,50,10,15,"mgcv",385
-3.5,50,10,15,"mgcv",386
-2.5,50,10,15,"mgcv",387
-4.5,10,30,15,"mgcv",388
-3.5,10,30,15,"mgcv",389
-2.5,10,30,15,"mgcv",390
-4.5,30,30,15,"mgcv",391
-3.5,30,30,15,"mgcv",392
-2.5,30,30,15,"mgcv",393
-4.5,50,30,15,"mgcv",394
-3.5,50,30,15,"mgcv",395
-2.5,50,30,15,"mgcv",396
-4.5,10,50,15,"mgcv",397
-3.5,10,50,15,"mgcv",398
-2.5,10,50,15,"mgcv",399
-4.5,30,50,15,"mgcv",400
-3.5,30,50,15,"mgcv",401
-2.5,30,50,15,"mgcv",402
-4.5,50,50,15,"mgcv",403
-3.5,50,50,15,"mgcv",404
-2.5,50,50,15,"mgcv",405
-4.5,10,10,16,"mgcv",406
-3.5,10,10,16,"mgcv",407
-2.5,10,10,16,"mgcv",408
-4.5,30,10,16,"mgcv",409
-3.5,30,10,16,"mgcv",410
-2.5,30,10,16,"mgcv",411
-4.5,50,10,16,"mgcv",412
-3.5,50,10,16,"mgcv",413
-2.5,50,10,16,"mgcv",414
-4.5,10,30,16,"mgcv",415
-3.5,10,30,16,"mgcv",416
-2.5,10,30,16,"mgcv",417
-4.5,30,30,16,"mgcv",418
-3.5,30,30,16,"mgcv",419
-2.5,30,30,16,"mgcv",420
-4.5,50,30,16,"mgcv",421
-3.5,50,30,16,"mgcv",422
-2.5,50,30,16,"mgcv",423
-4.5,10,50,16,"mgcv",424
-3.5,10,50,16,"mgcv",425
-2.5,10,50,16,"mgcv",426
-4.5,30,50,16,"mgcv",427
-3.5,30,50,16,"mgcv",428
-2.5,30,50,16,"mgcv",429
-4.5,50,50,16,"mgcv",430
-3.5,50,50,16,"mgcv",431
-2.5,50,50,16,"mgcv",432
-4.5,10,10,17,"mgcv",433
-3.5,10,10,17,"mgcv",434
-2.5,10,10,17,"mgcv",435
-4.5,30,10,17,"mgcv",436
-3.5,30,10,17,"mgcv",437
-2.5,30,10,17,"mgcv",438
-4.5,50,10,17,"mgcv",439
-3.5,50,10,17,"mgcv",440
-2.5,50,10,17,"mgcv",441
-4.5,10,30,17,"mgcv",442
-3.5,10,30,17,"mgcv",443
-2.5,10,30,17,"mgcv",444
-4.5,30,30,17,"mgcv",445
-3.5,30,30,17,"mgcv",446
-2.5,30,30,17,"mgcv",447
-4.5,50,30,17,"mgcv",448
-3.5,50,30,17,"mgcv",449
-2.5,50,30,17,"mgcv",450
-4.5,10,50,17,"mgcv",451
-3.5,10,50,17,"mgcv",452
-2.5,10,50,17,"mgcv",453
-4.5,30,50,17,"mgcv",454
-3.5,30,50,17,"mgcv",455
-2.5,30,50,17,"mgcv",456
-4.5,50,50,17,"mgcv",457
-3.5,50,50,17,"mgcv",458
-2.5,50,50,17,"mgcv",459
-4.5,10,10,18,"mgcv",460
-3.5,10,10,18,"mgcv",461
-2.5,10,10,18,"mgcv",462
-4.5,30,10,18,"mgcv",463
-3.5,30,10,18,"mgcv",464
-2.5,30,10,18,"mgcv",465
-4.5,50,10,18,"mgcv",466
-3.5,50,10,18,"mgcv",467
-2.5,50,10,18,"mgcv",468
-4.5,10,30,18,"mgcv",469
-3.5,10,30,18,"mgcv",470
-2.5,10,30,18,"mgcv",471
-4.5,30,30,18,"mgcv",472
-3.5,30,30,18,"mgcv",473
-2.5,30,30,18,"mgcv",474
-4.5,50,30,18,"mgcv",475
-3.5,50,30,18,"mgcv",476
-2.5,50,30,18,"mgcv",477
-4.5,10,50,18,"mgcv",478
-3.5,10,50,18,"mgcv",479
-2.5,10,50,18,"mgcv",480
-4.5,30,50,18,"mgcv",481
-3.5,30,50,18,"mgcv",482
-2.5,30,50,18,"mgcv",483
-4.5,50,50,18,"mgcv",484
-3.5,50,50,18,"mgcv",485
-2.5,50,50,18,"mgcv",486
-4.5,10,10,19,"mgcv",487
-3.5,10,10,19,"mgcv",488
-2.5,10,10,19,"mgcv",489
-4.5,30,10,19,"mgcv",490
-3.5,30,10,19,"mgcv",491
-2.5,30,10,19,"mgcv",492
-4.5,50,10,19,"mgcv",493
-3.5,50,10,19,"mgcv",494
-2.5,50,10,19,"mgcv",495
-4.5,10,30,19,"mgcv",496
-3.5,10,30,19,"mgcv",497
-2.5,10,30,19,"mgcv",498
-4.5,30,30,19,"mgcv",499
-3.5,30,30,19,"mgcv",500
-2.5,30,30,19,"mgcv",501
-4.5,50,30,19,"mgcv",502
-3.5,50,30,19,"mgcv",503
-2.5,50,30,19,"mgcv",504
-4.5,10,50,19,"mgcv",505
-3.5,10,50,19,"mgcv",506
-2.5,10,50,19,"mgcv",507
-4.5,30,50,19,"mgcv",508
-3.5,30,50,19,"mgcv",509
-2.5,30,50,19,"mgcv",510
-4.5,50,50,19,"mgcv",511
-3.5,50,50,19,"mgcv",512
-2.5,50,50,19,"mgcv",513
-4.5,10,10,20,"mgcv",514
-3.5,10,10,20,"mgcv",515
-2.5,10,10,20,"mgcv",516
-4.5,30,10,20,"mgcv",517
-3.5,30,10,20,"mgcv",518
-2.5,30,10,20,"mgcv",519
-4.5,50,10,20,"mgcv",520
-3.5,50,10,20,"mgcv",521
-2.5,50,10,20,"mgcv",522
-4.5,10,30,20,"mgcv",523
-3.5,10,30,20,"mgcv",524
-2.5,10,30,20,"mgcv",525
-4.5,30,30,20,"mgcv",526
-3.5,30,30,20,"mgcv",527
-2.5,30,30,20,"mgcv",528
-4.5,50,30,20,"mgcv",529
-3.5,50,30,20,"mgcv",530
-2.5,50,30,20,"mgcv",531
-4.5,10,50,20,"mgcv",532
-3.5,10,50,20,"mgcv",533
-2.5,10,50,20,"mgcv",534
-4.5,30,50,20,"mgcv",535
-3.5,30,50,20,"mgcv",536
-2.5,30,50,20,"mgcv",537
-4.5,50,50,20,"mgcv",538
-3.5,50,50,20,"mgcv",539
-2.5,50,50,20,"mgcv",540
-4.5,10,10,21,"mgcv",541
-3.5,10,10,21,"mgcv",542
-2.5,10,10,21,"mgcv",543
-4.5,30,10,21,"mgcv",544
-3.5,30,10,21,"mgcv",545
-2.5,30,10,21,"mgcv",546
-4.5,50,10,21,"mgcv",547
-3.5,50,10,21,"mgcv",548
-2.5,50,10,21,"mgcv",549
-4.5,10,30,21,"mgcv",550
-3.5,10,30,21,"mgcv",551
-2.5,10,30,21,"mgcv",552
-4.5,30,30,21,"mgcv",553
-3.5,30,30,21,"mgcv",554
-2.5,30,30,21,"mgcv",555
-4.5,50,30,21,"mgcv",556
-3.5,50,30,21,"mgcv",557
-2.5,50,30,21,"mgcv",558
-4.5,10,50,21,"mgcv",559
-3.5,10,50,21,"mgcv",560
-2.5,10,50,21,"mgcv",561
-4.5,30,50,21,"mgcv",562
-3.5,30,50,21,"mgcv",563
-2.5,30,50,21,"mgcv",564
-4.5,50,50,21,"mgcv",565
-3.5,50,50,21,"mgcv",566
-2.5,50,50,21,"mgcv",567
-4.5,10,10,22,"mgcv",568
-3.5,10,10,22,"mgcv",569
-2.5,10,10,22,"mgcv",570
-4.5,30,10,22,"mgcv",571
-3.5,30,10,22,"mgcv",572
-2.5,30,10,22,"mgcv",573
-4.5,50,10,22,"mgcv",574
-3.5,50,10,22,"mgcv",575
-2.5,50,10,22,"mgcv",576
